0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
chi,phi,-7,-23,4,-10,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-6,36,5,3,1,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rav,tam,14,-10,-2,3,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-23,8,-7,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ram,den,-6,11,-3,0,-3,-13,-6,-5,-3,-6,-17,21,-3,-20,7,-7,-9,-7,-10,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,12,26,6,-7,1,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdg,clt,12,-9,6,0,10,2,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,-6,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crd,sfo,-10,8,-5,13,1,4,12,15,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-2,0,-3,1,-7,-3,0,-6,-14,1,4,-9,-7,-13,8,-1,2,-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phi,htx,3,8,4,-6,36,5,3,1,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-23,4,7,1,8,0,6,-6,7,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mia,cle,10,-6,-23,-7,6,-6,-13,3,-1,-9,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,1,-3,3,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gnb,sfo,-6,-3,8,-20,22,-16,-14,-23,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-17,-23,-2,0,-3,1,-7,-3,0,-6,-14,1,4,-9,-7,-13,8,-1,2,-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was,nyg,-10,-6,-4,-7,5,36,2,14,-6,-9,1,4,-7,-10,-6,-11,-7,7,4,7,-10,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,-6,4,-3,10,18,-16,18,12,5,-3,11,-13,-6,-20,-13,6,-9,15,8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
det,chi,1,22,-4,12,-11,-9,-3,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,-7,-23,4,-10,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,cin,7,4,11,-4,11,-20,-3,-13,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,3,8,26,-6,0,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan,den,19,1,8,-10,6,26,-3,0,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,-9,12,26,6,-7,1,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oti,jax,-23,-3,-7,-4,-6,6,2,10,14,-4,7,-20,11,4,-3,3,6,-13,-12,-4,15,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,-3,8,1,12,-6,-3,19,-20,7,13,3,8,5,-20,5,-10,15,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buf,min,-7,-4,26,8,-9,-11,-4,-1,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-10,-20,8,-10,4,4,1,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdg,rai,13,-9,12,-9,6,0,10,2,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,10,-20,12,0,-3,10,-20,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dal,clt,4,7,12,-4,10,-3,-16,22,-6,12,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,13,5,8,0,-6,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crd,ram,-17,4,-10,8,-5,13,1,4,12,15,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,-6,11,-3,0,-3,-13,-6,-5,-3,-6,-17,21,-3,-20,7,-7,-9,-7,-10,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tam,atl,-13,-6,-2,-23,8,-7,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-6,11,-6,3,-2,4,-2,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea,car,1,19,-4,11,13,-5,-16,18,-20,10,-1,-13,0,-3,-20,-3,4,-3,-9,8,8,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-10,14,-7,8,-20,11,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pit,rav,-4,-7,12,-20,3,16,4,-2,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-13,14,-10,-2,3,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nyj,nwe,3,-13,7,4,3,-3,0,-3,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,8,5,16,3,-9,11,5,-5,0,-3,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clt,oti,12,15,-9,13,5,8,0,-6,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-6,-23,-3,-7,-4,-6,6,2,10,14,-4,7,-20,11,4,-3,3,6,-13,-12,-4,15,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buf,cle,-9,15,-7,-4,26,8,-9,-11,-4,-1,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-13,1,0,-3,1,-3,3,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cin,pit,7,11,-13,3,8,26,-6,0,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-13,-4,-7,12,-20,3,16,4,-2,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rai,jax,5,-10,-6,10,-20,12,0,-3,10,-20,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-17,-3,1,1,-3,8,1,12,-6,-3,19,-20,7,13,3,8,5,-20,5,-10,15,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atl,car,5,1,-3,-6,11,-6,3,-2,4,-2,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,8,0,1,-10,14,-7,8,-20,11,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gnb,det,11,-7,-6,-3,8,-20,22,-16,-14,-23,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,1,22,-4,12,-11,-9,-3,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tam,was,1,5,-13,-6,-2,-23,8,-7,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,8,-10,-6,-4,-7,5,36,2,14,-6,-9,1,4,-7,-10,-6,-11,-7,7,4,7,-10,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor,ram,11,7,7,4,11,-4,11,-20,-3,-13,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-17,13,10,-6,11,-3,0,-3,-13,-6,-5,-3,-6,-17,21,-3,-20,7,-7,-9,-7,-10,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea,sfo,8,-9,1,19,-4,11,13,-5,-16,18,-20,10,-1,-13,0,-3,-20,-3,4,-3,-9,8,8,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,11,4,-17,-23,-2,0,-3,1,-7,-3,0,-6,-14,1,4,-9,-7,-13,8,-1,2,-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crd,den,-17,-4,-17,4,-10,8,-5,13,1,4,12,15,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-13,10,13,-9,12,26,6,-7,1,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdg,kan,-10,5,13,-9,12,-9,6,0,10,2,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-17,19,1,8,-10,6,26,-3,0,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nyj,mia,-20,22,3,-13,7,4,3,-3,0,-3,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-10,10,-6,-23,-7,6,-6,-13,3,-1,-9,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nwe,chi,22,-20,22,1,8,5,16,3,-9,11,5,-5,0,-3,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,8,3,-7,-23,4,-10,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dal,phi,15,12,4,7,12,-4,10,-3,-16,22,-6,12,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,8,4,-6,36,5,3,1,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
min,nyg,15,-9,-6,-10,-20,8,-10,4,4,1,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-16,1,-3,-6,4,-3,10,18,-16,18,12,5,-3,11,-13,-6,-20,-13,6,-9,15,8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
htx,rav,1,11,-3,-23,4,7,1,8,0,6,-6,7,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-10,-6,-13,14,-10,-2,3,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdg,sfo,8,-23,-10,5,13,-9,12,-9,6,0,10,2,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-2,-7,11,4,-17,-23,-2,0,-3,1,-7,-3,0,-6,-14,1,4,-9,-7,-13,8,-1,2,-17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan,ram,-23,8,-13,-17,19,1,8,-10,6,26,-3,0,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,8,-4,-17,13,10,-6,11,-3,0,-3,-13,-6,-5,-3,-6,-17,21,-3,-20,7,-7,-9,-7,-10,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mia,buf,-13,-17,-13,-10,10,-6,-23,-7,6,-6,-13,3,-1,-9,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-17,-9,15,-7,-4,26,8,-9,-11,-4,-1,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cle,cin,-17,-10,-10,-13,1,0,-3,1,-3,3,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,7,11,-13,3,8,26,-6,0,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clt,jax,7,5,12,15,-9,13,5,8,0,-6,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,-6,-17,-3,1,1,-3,8,1,12,-6,-3,19,-20,7,13,3,8,5,-20,5,-10,15,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
htx,oti,5,11,1,11,-3,-23,4,7,1,8,0,6,-6,7,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,-17,-6,-23,-3,-7,-4,-6,6,2,10,14,-4,7,-20,11,4,-3,3,6,-13,-12,-4,15,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was,dal,-7,-6,-16,8,-10,-6,-4,-7,5,36,2,14,-6,-9,1,4,-7,-10,-6,-11,-7,7,4,7,-10,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,12,4,7,12,-4,10,-3,-16,22,-6,12,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tam,det,-6,-7,1,5,-13,-6,-2,-23,8,-7,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-20,-3,1,1,22,-4,12,-11,-9,-3,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rav,nor,11,5,-13,-10,-6,-13,14,-10,-2,3,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-10,11,7,7,4,11,-4,11,-20,-3,-13,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nyg,phi,-2,-20,8,-16,1,-3,-6,4,-3,10,18,-16,18,12,5,-3,11,-13,-6,-20,-13,6,-9,15,8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,1,3,8,4,-6,36,5,3,1,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car,crd,-13,8,-9,8,0,1,-10,14,-7,8,-20,11,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-10,-17,-4,-17,4,-10,8,-5,13,1,4,12,15,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea,atl,-2,17,8,-9,1,19,-4,11,13,-5,-16,18,-20,10,-1,-13,0,-3,-20,-3,4,-3,-9,8,8,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-13,5,1,-3,-6,11,-6,3,-2,4,-2,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
den,rai,-10,20,-17,-13,10,13,-9,12,26,6,-7,1,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5,-10,-6,10,-20,12,0,-3,10,-20,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nyj,pit,-17,-13,-20,22,3,-13,7,4,3,-3,0,-3,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-10,-13,-4,-7,12,-20,3,16,4,-2,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gnb,nwe,-20,-16,11,-7,-6,-3,8,-20,22,-16,-14,-23,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-16,22,-20,22,1,8,5,16,3,-9,11,5,-5,0,-3,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chi,min,-16,13,1,-3,8,3,-7,-23,4,-10,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-2,15,-9,-6,-10,-20,8,-10,4,4,1,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pit,car,-6,-1,0,-16,-10,-13,-4,-7,12,-20,3,16,4,-2,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,0,0,0,0,-4,-11,-13,8,-9,8,0,1,-10,14,-7,8,-20,11,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,0,0,0,0,0,0
crd,dal,-11,-4,20,-10,-17,-4,-17,4,-10,8,-5,13,1,4,12,15,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,7,15,12,4,7,12,-4,10,-3,-16,22,-6,12,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0,0,0,0,0
ram,sfo,-10,4,-10,8,-4,-17,13,10,-6,11,-3,0,-3,-13,-6,-5,-3,-6,-17,21,-3,-20,7,-7,-9,-7,-10,-6,0,0,0,0,0,0,0,0,0,0,0,0,-16,11,17,-2,-7,11,4,-17,-23,-2,0,-3,1,-7,-3,0,-6,-14,1,4,-9,-7,-13,8,-1,2,-17,8,0,0,0,0,0,0,0,0,0,0,0,0
nwe,buf,8,4,13,-16,22,-20,22,1,8,5,16,3,-9,11,5,-5,0,-3,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,-6,-9,-10,-17,-9,15,-7,-4,26,8,-9,-11,-4,-1,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,0,0,0,0,0,0
nyj,chi,-1,-6,-17,-13,-20,22,3,-13,7,4,3,-3,0,-3,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,0,0,0,0,0,0,17,-9,-16,13,1,-3,8,3,-7,-23,4,-10,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0
rav,cle,7,1,11,5,-13,-10,-6,-13,14,-10,-2,3,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-17,-10,-10,-13,1,0,-3,1,-3,3,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0,0,0
mia,det,-9,-6,-13,-17,-13,-10,10,-6,-23,-7,6,-6,-13,3,-1,-9,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-16,-20,-3,1,1,22,-4,12,-11,-9,-3,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0,0,0,0,0,0,0
jax,was,1,11,15,8,-6,-17,-3,1,1,-3,8,1,12,-6,-3,19,-20,7,13,3,8,5,-20,5,-10,15,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,7,10,-7,-6,-16,8,-10,-6,-4,-7,5,36,2,14,-6,-9,1,4,-7,-10,-6,-11,-7,7,4,7,-10,-16,0,0,0,0,0,0,0,0,0,0,0,0
kan,oti,4,-10,-23,8,-13,-17,19,1,8,-10,6,26,-3,0,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,0,0,0,0,0,0,8,-6,5,7,-17,-6,-23,-3,-7,-4,-6,6,2,10,14,-4,7,-20,11,4,-3,3,6,-13,-12,-4,15,-10,0,0,0,0,0,0,0,0,0,0,0,0
cin,sdg,-4,-6,-16,0,7,11,-13,3,8,26,-6,0,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0,0,0,11,-16,8,-23,-10,5,13,-9,12,-9,6,0,10,2,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,0,0,0,0,0,0
rai,clt,16,0,8,15,5,-10,-6,10,-20,12,0,-3,10,-20,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,0,0,0,0,0,0,11,1,7,5,12,15,-9,13,5,8,0,-6,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0,0,0,0,0
den,htx,0,16,-10,20,-17,-13,10,13,-9,12,26,6,-7,1,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,-6,8,5,11,1,11,-3,-23,4,7,1,8,0,6,-6,7,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0
gnb,nyg,4,8,-20,-16,11,-7,-6,-3,8,-20,22,-16,-14,-23,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,8,15,-2,-20,8,-16,1,-3,-6,4,-3,10,18,-16,18,12,5,-3,11,-13,-6,-20,-13,6,-9,15,8,-5,0,0,0,0,0,0,0,0,0,0,0,0
sea,tam,-5,11,-2,17,8,-9,1,19,-4,11,13,-5,-16,18,-20,10,-1,-13,0,-3,-20,-3,4,-3,-9,8,8,-17,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-6,-7,1,5,-13,-6,-2,-23,8,-7,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0
atl,nor,11,-5,8,-13,5,1,-3,-6,11,-6,3,-2,4,-2,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,-10,11,7,7,4,11,-4,11,-20,-3,-13,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0,0,0,0,0,0,0,0,0
phi,min,15,8,7,4,11,1,3,8,4,-6,36,5,3,1,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,-9,17,-20,-2,15,-9,-6,-10,-20,8,-10,4,4,1,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0
tam,nor,15,-8,-3,0,-6,-7,1,5,-13,-6,-2,-23,8,-7,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0,0,0,-6,-9,1,7,8,-10,11,7,7,4,11,-4,11,-20,-3,-13,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0,0,0,0,0,0,0
rav,cin,-3,-13,7,1,11,5,-13,-10,-6,-13,14,-10,-2,3,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0,0,0,0,0,11,-3,-4,-6,-16,0,7,11,-13,3,8,26,-6,0,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0,0,0
pit,cle,4,-20,-6,-1,0,-16,-10,-13,-4,-7,12,-20,3,16,4,-2,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,0,0,-13,-3,-6,-4,-17,-10,-10,-13,1,0,-3,1,-3,3,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,0,0,0,0
